HAUL_CYCLE_REC_IDENT,LOAD_START_TIMESTAMP,LOADING_EASTING,LOADING_NORTHING,LOADING_ELEVATION,LOAD_LOCATION_SNAME,BLOCK_SNAME,DUMP_LOCATION_SNAME
2706861,11:01.0,806539.8622,7510435.783,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
2706863,25:49.0,806539.9271,7510442.996,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
2706867,24:28.0,804945.9133,7510765.209,NULL,ROM2_1_19_1,NULL,CRUSHER1
2706872,18:56.0,805659.4738,7512490.041,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2706875,11:52.0,798820.9912,7513492.175,NULL,ROM1_2_8_22,NULL,CRUSHER3
2706876,10:30.0,NULL,NULL,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2706878,12:26.0,803948.6321,7511112.162,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER2
2706920,54:42.0,805644.9201,7512491.104,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2706925,32:57.0,805653.0951,7512491.194,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2706930,38:01.0,806540.5927,7510447.054,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER2
2706939,33:25.0,798821.4778,7513495.374,NULL,ROM1_2_8_22,NULL,CRUSHER3
2706966,42:19.0,803950.2413,7511114.28,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2706984,50:31.0,804501.9274,7510399.276,NULL,ROM2_1_5_20,NULL,CRUSHER1
2706989,55:11.0,806541.1857,7510457.774,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER2
2707005,05:09.0,806541.3487,7510464.855,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER2
2707027,13:45.0,798674.0907,7513563.94,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707035,17:05.0,804597.5682,7510419.84,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707050,20:06.0,806541.4708,7510464.552,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
2707056,16:30.0,804940.6856,7510762.186,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707064,20:14.0,804947.111,7510759.299,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707089,28:17.0,804601.4314,7510424.513,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707104,31:56.0,798671.5598,7513556.55,NULL,ROM1_2_8_22,NULL,CRUSHER3
2707116,43:34.0,806541.8262,7510480.208,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
2707185,04:06.0,798662.7283,7513557.671,NULL,ROM1_2_8_22,NULL,CRUSHER3
2707188,20:10.0,806542.4253,7510496.201,NULL,D501_408_805_416,D501_408_805_416_BAH_7,CRUSHER2
2707196,12:07.0,803964.4053,7511036.546,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER2
2707206,13:25.0,804592.1779,7510419.234,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707212,26:25.0,803955.4849,7511126.095,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2707244,32:23.0,798667.5758,7513554.693,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707352,45:44.0,806543.5741,7510519.7,NULL,D501_408_805_416,D501_408_805_416_BAH_7,CRUSHER2
2707354,54:03.0,805668.5553,7512480.262,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707378,57:13.0,805017.3374,7510766.927,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707386,49:49.0,804583.5026,7510414.973,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707398,02:07.0,805669.7197,7512484.898,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707411,58:34.0,804463.7706,7511144.458,NULL,ROM2_2_20_5,NULL,CRUSHER1
2707419,06:03.0,806543.0015,7510505.008,NULL,D501_408_805_416,D501_408_805_416_BAH_7,CRUSHER1
2707421,02:26.0,798798.7743,7513503.372,NULL,ROM1_2_8_21,NULL,CRUSHER3
2707424,10:26.0,805673.0164,7512483.678,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER2
2707440,07:11.0,798656.6237,7513571.162,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707483,25:02.0,798658.2355,7513557.239,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707484,27:40.0,805028.923,7510820.19,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707497,32:48.0,805031.7259,7510818.566,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707502,37:35.0,806541.7399,7510491.881,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
2707507,45:55.0,805672.5375,7512479.674,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707516,43:53.0,804580.0134,7510420.539,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707544,51:25.0,804432.5179,7511135.651,NULL,ROM2_2_20_5,NULL,CRUSHER2
2707553,35:00.0,805694.6752,7512478.875,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2707565,09:09.0,806545.0513,7510480.441,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2707572,04:01.0,804563.7927,7510416.988,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707591,09:32.0,798650.8437,7513559.949,NULL,ROM1_2_10_31,NULL,CRUSHER3
2707597,26:06.0,806550.3339,7510487.034,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2707610,19:53.0,804580.4532,7510423.683,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707634,26:01.0,805023.3819,7510789.699,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707637,31:18.0,805026.1953,7510786.94,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707658,38:36.0,804561.5507,7510408.903,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707695,52:44.0,806552.4907,7510499.399,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
2707703,51:55.0,805027.8652,7510775.37,NULL,ROM2_1_19_1,NULL,CRUSHER1
2707713,59:19.0,806553.3141,7510502.755,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER1
2707745,05:51.0,804567.8098,7510418.29,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707748,06:18.0,805027.5906,7510771.059,NULL,ROM2_1_19_1,NULL,CRUSHER2
2707762,14:34.0,804567.7562,7510417.377,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707786,21:24.0,804568.8351,7510412.423,NULL,ROM2_1_5_20,NULL,CRUSHER2
2707801,29:47.0,804439.6893,7511127.476,NULL,ROM2_2_20_5,NULL,CRUSHER2
2707819,32:26.0,804558.0157,7510418.033,NULL,ROM2_1_5_20,NULL,CRUSHER1
2707839,41:24.0,806558.6536,7510556.529,NULL,D501_408_805_416,D501_408_805_416_LAH_8,CRUSHER2
